City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
332,Dilla,ET,2022-05-25 02:39:49,6.41,38.31,59.16,93,61,3.8
333,Izhma,RU,2022-05-25 02:39:49,65.0083,53.9113,47.41,80,100,6.78
334,Padang,ID,2022-05-25 02:39:49,-0.9492,100.3543,78.85,96,100,7.65
335,Omboue,GA,2022-05-25 02:39:50,-1.5746,9.2618,73.56,85,99,7.67
336,Hofn,IS,2022-05-25 02:39:50,64.2539,-15.2082,45.97,86,100,6.04
337,Mackay,AU,2022-05-25 02:35:03,-21.15,149.2,77.68,77,100,14.79
338,Tiksi,RU,2022-05-25 02:39:51,71.6872,128.8694,32.29,99,100,12.33
339,Praia Da Vitoria,PT,2022-05-25 02:39:52,38.7333,-27.0667,60.76,94,20,7.56
340,Mancheral,IN,2022-05-25 02:39:52,18.8667,79.4333,94.73,32,91,2.01
341,Steinbach,DE,2022-05-25 02:39:52,50.1667,8.5667,52.99,90,0,2.3
342,Santa Rita,BR,2022-05-25 02:39:53,-7.1139,-34.9781,74.07,100,75,5.75
343,Faya,SA,2022-05-25 02:39:53,18.3851,42.4509,66.72,39,6,3.89
344,Nalut,LY,2022-05-25 02:39:54,30.3333,10.85,74.64,14,0,9.62
345,Pathanamthitta,IN,2022-05-25 02:39:54,9.2667,76.7833,80.64,85,73,1.7
346,Thinadhoo,MV,2022-05-25 02:39:55,0.5333,72.9333,82.94,68,70,1.92
347,Laon,FR,2022-05-25 02:39:56,49.5667,3.6667,44.22,92,0,4.27
348,Shenzhen,CN,2022-05-25 02:39:56,22.5455,114.0683,81.86,93,100,4.85
349,Lincoln,US,2022-05-25 02:36:27,40.8,-96.667,50.29,96,100,14.97
350,Lavrentiya,RU,2022-05-25 02:39:57,65.5833,-171.0,39.43,93,100,6.71
351,Marawi,PH,2022-05-25 02:39:58,7.9986,124.2928,82.26,63,100,2.35
352,Trinidad,BO,2022-05-25 02:35:20,-14.8333,-64.9,72.18,88,86,2.37
353,Lakhi,PK,2022-05-25 02:39:59,27.8496,68.6994,82.29,54,0,9.22
354,Ortona,IT,2022-05-25 02:39:59,42.3496,14.4039,68.16,91,45,2.51
355,Svetlyy,RU,2022-05-25 02:40:01,54.675,20.1347,56.97,97,100,5.64
356,Hue,VN,2022-05-25 02:40:02,16.4667,107.6,87.91,70,20,2.3
